object_name,sample_name,obj. ref
AlvarezOrdonezA_xxxx__Q01-22__bin.5,AlvarezOrdonezA_xxxx__Q01-22__bin.5,218406/3114/1
MASTER_WP4_UNINA_2__I-22__bin.6,MASTER_WP4_UNINA_2__I-22__bin.6,218406/3115/1
LimaC_2020__SRR9640352__bin.18,LimaC_2020__SRR9640352__bin.18,218406/3116/1
AlvarezOrdonezA_xxxx__R03-19__bin.22,AlvarezOrdonezA_xxxx__R03-19__bin.22,218406/3117/1
WalshL_xxxx__Q3__bin.4,WalshL_xxxx__Q3__bin.4,218406/3120/1
CM_UNINA_FFOOD__FFOOD_329__bin.15,CM_UNINA_FFOOD__FFOOD_329__bin.15,218406/3122/1
YouL_2022__SRR13308523__bin.3,YouL_2022__SRR13308523__bin.3,218406/3125/1
QuigleyL_2016__ERS654086__bin.3,QuigleyL_2016__ERS654086__bin.3,218406/3126/1
MASTER_WP4_CSIC_2__P2628__bin.26,MASTER_WP4_CSIC_2__P2628__bin.26,218406/3129/1
MASTER_WP4_UNINA_1__PA004_73417__bin.9,MASTER_WP4_UNINA_1__PA004_73417__bin.9,218406/3130/1
LeechJ_2020__ERS3967702__bin.6,LeechJ_2020__ERS3967702__bin.6,218406/3131/1
FontanaF_2023__SRR20746851__bin.6,FontanaF_2023__SRR20746851__bin.6,218406/3134/1
AlvarezOrdonezA_xxxx__Q07-29__bin.1,AlvarezOrdonezA_xxxx__Q07-29__bin.1,218406/3136/1
MASTER_WP4_UNINA_1__PR102_71775__bin.19,MASTER_WP4_UNINA_1__PR102_71775__bin.19,218406/3139/1
XieM_2019__SAMC044639__bin.31,XieM_2019__SAMC044639__bin.31,218406/3141/1
MASTER_WP4_UNINA_2__I-30__bin.19,MASTER_WP4_UNINA_2__I-30__bin.19,218406/3144/1
MASTER_WP4_UNINA_1__FO007_71775__bin.16,MASTER_WP4_UNINA_1__FO007_71775__bin.16,218406/3145/1
LeechJ_2020__ERS3967716__bin.6,LeechJ_2020__ERS3967716__bin.6,218406/3146/1
LeechJ_xxxx__AF56__bin.9,LeechJ_xxxx__AF56__bin.9,218406/3147/1
FalardeauJ_2023__SRR20811145__bin.3,FalardeauJ_2023__SRR20811145__bin.3,218406/3148/1
LeechJ_2020__ERS3967715__bin.12,LeechJ_2020__ERS3967715__bin.12,218406/3149/1
MAG_484,MAG_484,218406/3155/1
LeechJ_2020__ERS3967722__bin.12,LeechJ_2020__ERS3967722__bin.12,218406/3156/1
MAG_595,MAG_595,218406/3159/1
WalshL_xxxx__L6__bin.4,WalshL_xxxx__L6__bin.4,218406/3160/1
PothakosV_2020__ERS2068302__bin.24,PothakosV_2020__ERS2068302__bin.24,218406/3161/1
MAG_604,MAG_604,218406/3162/1
MASTER_WP4_FFoQSI_1__VB-14-M17__bin.26,MASTER_WP4_FFoQSI_1__VB-14-M17__bin.26,218406/3164/1
DeFilippisF_xxxx__DF_100__bin.11,DeFilippisF_xxxx__DF_100__bin.11,218406/3167/1
MASTER_WP4_CSIC_1__P2136_73322__bin.21,MASTER_WP4_CSIC_1__P2136_73322__bin.21,218406/3173/1
MAG_426,MAG_426,218406/3174/1
MASTER_WP4_FFoQSI_3__VB13-26__bin.1,MASTER_WP4_FFoQSI_3__VB13-26__bin.1,218406/3175/1
MortensenS_xxxx__WK045-2-G-48h-04C3_S121__bin.4,MortensenS_xxxx__WK045-2-G-48h-04C3_S121__bin.4,218406/3176/1
MASTER_WP4_FFoQSI_1__VB14-F-BR__bin.39,MASTER_WP4_FFoQSI_1__VB14-F-BR__bin.39,218406/3177/1
QuijadaN_2022__ERR7245779__bin.25,QuijadaN_2022__ERR7245779__bin.25,218406/3178/1
MASTER_WP4_CSIC_2__P2544__bin.13,MASTER_WP4_CSIC_2__P2544__bin.13,218406/3179/1
CM_UNINA_FFOOD__FFOOD_319__bin.7,CM_UNINA_FFOOD__FFOOD_319__bin.7,218406/3183/1
LeechJ_xxxx__AF10__bin.16,LeechJ_xxxx__AF10__bin.16,218406/3185/1
MAG_537,MAG_537,218406/3190/1
MASTER_WP4_UNINA_1__FI010_71775__bin.25,MASTER_WP4_UNINA_1__FI010_71775__bin.25,218406/3191/1
MASTER_WP4_FFoQSI_1__VB-06-AD__bin.11,MASTER_WP4_FFoQSI_1__VB-06-AD__bin.11,218406/3192/1
LeechJ_xxxx__AF64__bin.6,LeechJ_xxxx__AF64__bin.6,218406/3194/1
MAG_69,MAG_69,218406/3195/1
LiZ_2019__SRS3379159__bin.2,LiZ_2019__SRS3379159__bin.2,218406/3196/1
