object_name,sample_name,obj. ref
GCF_001434985.1_ASM143498v1_genomic,GCF_001434985.1_ASM143498v1_genomic,218406/2/1
GCF_003946605.1_ASM394660v1_genomic,GCF_003946605.1_ASM394660v1_genomic,218406/3/1
GCF_001436135.1_ASM143613v1_genomic,GCF_001436135.1_ASM143613v1_genomic,218406/4/1
GCF_003946555.1_ASM394655v1_genomic,GCF_003946555.1_ASM394655v1_genomic,218406/5/1
GCF_900618535.1_TH39_genomic,GCF_900618535.1_TH39_genomic,218406/6/1
GCF_010306265.1_ASM1030626v1_genomic,GCF_010306265.1_ASM1030626v1_genomic,218406/7/1
GCF_011067265.1_ASM1106726v1_genomic,GCF_011067265.1_ASM1106726v1_genomic,218406/8/1
GCF_001437055.1_ASM143705v1_genomic,GCF_001437055.1_ASM143705v1_genomic,218406/9/1
GCF_023091965.1_ASM2309196v1_genomic,GCF_023091965.1_ASM2309196v1_genomic,218406/10/1
GCF_003573535.1_ASM357353v1_genomic,GCF_003573535.1_ASM357353v1_genomic,218406/11/1
GCF_006007945.1_ASM600794v1_genomic,GCF_006007945.1_ASM600794v1_genomic,218406/22/1
GCF_003946305.1_ASM394630v1_genomic,GCF_003946305.1_ASM394630v1_genomic,218406/23/1
GCA_003325435.1_Razy_CA_genomic,GCA_003325435.1_Razy_CA_genomic,218406/24/1
GCF_003946405.1_ASM394640v1_genomic,GCF_003946405.1_ASM394640v1_genomic,218406/25/1
GCF_001702115.1_ASM170211v1_genomic,GCF_001702115.1_ASM170211v1_genomic,218406/26/1
GCF_005405165.1_ASM540516v1_genomic,GCF_005405165.1_ASM540516v1_genomic,218406/27/1
GCF_000420365.1_ASM42036v1_genomic,GCF_000420365.1_ASM42036v1_genomic,218406/28/1
GCF_003946085.1_ASM394608v1_genomic,GCF_003946085.1_ASM394608v1_genomic,218406/29/1
GCF_001433825.1_ASM143382v1_genomic,GCF_001433825.1_ASM143382v1_genomic,218406/30/1
GCF_004745505.1_ASM474550v1_genomic,GCF_004745505.1_ASM474550v1_genomic,218406/32/1
GCF_002276885.1_ASM227688v1_genomic,GCF_002276885.1_ASM227688v1_genomic,218406/40/1
GCF_001437605.1_ASM143760v1_genomic,GCF_001437605.1_ASM143760v1_genomic,218406/43/1
GCF_011516835.1_ASM1151683v1_genomic,GCF_011516835.1_ASM1151683v1_genomic,218406/44/1
GCF_012396505.1_ASM1239650v1_genomic,GCF_012396505.1_ASM1239650v1_genomic,218406/45/1
GCF_001435235.1_ASM143523v1_genomic,GCF_001435235.1_ASM143523v1_genomic,218406/46/1
GCF_003946025.1_ASM394602v1_genomic,GCF_003946025.1_ASM394602v1_genomic,218406/47/1
GCF_003946725.1_ASM394672v1_genomic,GCF_003946725.1_ASM394672v1_genomic,218406/48/1
GCF_011611525.1_ASM1161152v1_genomic,GCF_011611525.1_ASM1161152v1_genomic,218406/49/1
GCF_006740305.1_ASM674030v1_genomic,GCF_006740305.1_ASM674030v1_genomic,218406/50/1
GCF_001047075.2_ASM104707v2_genomic,GCF_001047075.2_ASM104707v2_genomic,218406/51/1
GCF_009428965.1_ASM942896v1_genomic,GCF_009428965.1_ASM942896v1_genomic,218406/61/1
GCF_013127755.1_ASM1312775v1_genomic,GCF_013127755.1_ASM1312775v1_genomic,218406/63/1
GCF_009184845.1_ASM918484v1_genomic,GCF_009184845.1_ASM918484v1_genomic,218406/64/1
GCF_003946175.1_ASM394617v1_genomic,GCF_003946175.1_ASM394617v1_genomic,218406/65/1
GCF_001434655.1_ASM143465v1_genomic,GCF_001434655.1_ASM143465v1_genomic,218406/66/1
GCF_003946675.1_ASM394667v1_genomic,GCF_003946675.1_ASM394667v1_genomic,218406/67/1
GCF_025211165.1_ASM2521116v1_genomic,GCF_025211165.1_ASM2521116v1_genomic,218406/68/1
GCF_001434915.1_ASM143491v1_genomic,GCF_001434915.1_ASM143491v1_genomic,218406/69/1
GCF_003946695.1_ASM394669v1_genomic,GCF_003946695.1_ASM394669v1_genomic,218406/70/1
GCF_007992055.1_ASM799205v1_genomic,GCF_007992055.1_ASM799205v1_genomic,218406/71/1
GCF_003946215.1_ASM394621v1_genomic,GCF_003946215.1_ASM394621v1_genomic,218406/80/1
GCF_000498955.2_NMG01_genomic,GCF_000498955.2_NMG01_genomic,218406/83/1
GCF_001436675.1_ASM143667v1_genomic,GCF_001436675.1_ASM143667v1_genomic,218406/84/1
GCF_011516885.1_ASM1151688v1_genomic,GCF_011516885.1_ASM1151688v1_genomic,218406/85/1
GCF_003946645.1_ASM394664v1_genomic,GCF_003946645.1_ASM394664v1_genomic,218406/86/1
GCF_005405425.1_ASM540542v1_genomic,GCF_005405425.1_ASM540542v1_genomic,218406/87/1
GCF_007833675.1_ASM783367v1_genomic,GCF_007833675.1_ASM783367v1_genomic,218406/88/1
GCF_001434665.1_ASM143466v1_genomic,GCF_001434665.1_ASM143466v1_genomic,218406/89/1
GCF_003946145.1_ASM394614v1_genomic,GCF_003946145.1_ASM394614v1_genomic,218406/90/1
GCF_003946515.1_ASM394651v1_genomic,GCF_003946515.1_ASM394651v1_genomic,218406/91/1
GCF_900116935.1_Chromosome_genomic,GCF_900116935.1_Chromosome_genomic,218406/102/1
GCF_029025825.1_ASM2902582v1_genomic,GCF_029025825.1_ASM2902582v1_genomic,218406/103/1
GCF_001047115.2_ASM104711v2_genomic,GCF_001047115.2_ASM104711v2_genomic,218406/104/1
GCF_023061185.1_ASM2306118v1_genomic,GCF_023061185.1_ASM2306118v1_genomic,218406/105/1
GCF_003946395.1_ASM394639v1_genomic,GCF_003946395.1_ASM394639v1_genomic,218406/106/1
GCF_008033155.1_ASM803315v1_genomic,GCF_008033155.1_ASM803315v1_genomic,218406/107/1
GCF_003946345.1_ASM394634v1_genomic,GCF_003946345.1_ASM394634v1_genomic,218406/108/1
GCF_003946015.1_ASM394601v1_genomic,GCF_003946015.1_ASM394601v1_genomic,218406/109/1
GCF_005405125.1_ASM540512v1_genomic,GCF_005405125.1_ASM540512v1_genomic,218406/110/1
GCF_001434895.1_ASM143489v1_genomic,GCF_001434895.1_ASM143489v1_genomic,218406/111/1
GCF_004010095.1_ASM401009v1_genomic,GCF_004010095.1_ASM401009v1_genomic,218406/122/1
GCF_003946445.1_ASM394644v1_genomic,GCF_003946445.1_ASM394644v1_genomic,218406/123/1
GCF_001702155.1_ASM170215v1_genomic,GCF_001702155.1_ASM170215v1_genomic,218406/124/1
GCF_019444005.1_ASM1944400v1_genomic,GCF_019444005.1_ASM1944400v1_genomic,218406/125/1
GCF_001050475.1_ASM105047v1_genomic,GCF_001050475.1_ASM105047v1_genomic,218406/126/1
GCF_001885995.1_ASM188599v1_genomic,GCF_001885995.1_ASM188599v1_genomic,218406/127/1
GCF_019655995.1_ASM1965599v1_genomic,GCF_019655995.1_ASM1965599v1_genomic,218406/128/1
GCF_003946335.1_ASM394633v1_genomic,GCF_003946335.1_ASM394633v1_genomic,218406/129/1
GCF_001039045.1_ASM103904v1_genomic,GCF_001039045.1_ASM103904v1_genomic,218406/130/1
GCF_001434835.1_ASM143483v1_genomic,GCF_001434835.1_ASM143483v1_genomic,218406/131/1
GCF_900187015.1_50465_F01_genomic,GCF_900187015.1_50465_F01_genomic,218406/141/1
GCF_001433995.1_ASM143399v1_genomic,GCF_001433995.1_ASM143399v1_genomic,218406/143/1
GCF_001787355.1_ASM178735v1_genomic,GCF_001787355.1_ASM178735v1_genomic,218406/144/1
GCF_005405005.1_ASM540500v1_genomic,GCF_005405005.1_ASM540500v1_genomic,218406/145/1
GCF_003946265.1_ASM394626v1_genomic,GCF_003946265.1_ASM394626v1_genomic,218406/146/1
GCF_001436255.1_ASM143625v1_genomic,GCF_001436255.1_ASM143625v1_genomic,218406/147/1
GCF_003353445.1_ASM335344v1_genomic,GCF_003353445.1_ASM335344v1_genomic,218406/148/1
GCF_000817255.2_ASM81725v2_genomic,GCF_000817255.2_ASM81725v2_genomic,218406/149/1
GCF_000379545.1_ASM37954v1_genomic,GCF_000379545.1_ASM37954v1_genomic,218406/150/1
GCF_005405385.1_ASM540538v1_genomic,GCF_005405385.1_ASM540538v1_genomic,218406/151/1
GCF_001434295.1_ASM143429v1_genomic,GCF_001434295.1_ASM143429v1_genomic,218406/160/1
GCF_013155425.1_ASM1315542v1_genomic,GCF_013155425.1_ASM1315542v1_genomic,218406/163/1
GCF_007989765.1_ASM798976v1_genomic,GCF_007989765.1_ASM798976v1_genomic,218406/164/1
GCF_001438805.1_ASM143880v1_genomic,GCF_001438805.1_ASM143880v1_genomic,218406/165/1
GCF_007115095.1_ASM711509v1_genomic,GCF_007115095.1_ASM711509v1_genomic,218406/166/1
GCF_918814755.1_ASM91881475v1_genomic,GCF_918814755.1_ASM91881475v1_genomic,218406/167/1
GCF_011516735.1_ASM1151673v1_genomic,GCF_011516735.1_ASM1151673v1_genomic,218406/168/1
GCF_003946485.1_ASM394648v1_genomic,GCF_003946485.1_ASM394648v1_genomic,218406/169/1
GCF_008876665.1_ASM887666v1_genomic,GCF_008876665.1_ASM887666v1_genomic,218406/170/1
GCF_003946385.1_ASM394638v1_genomic,GCF_003946385.1_ASM394638v1_genomic,218406/172/1
GCF_001435195.1_ASM143519v1_genomic,GCF_001435195.1_ASM143519v1_genomic,218406/180/1
GCF_011074885.1_ASM1107488v2_genomic,GCF_011074885.1_ASM1107488v2_genomic,218406/183/1
GCF_001436735.1_ASM143673v1_genomic,GCF_001436735.1_ASM143673v1_genomic,218406/184/1
GCF_001580535.1_ASM158053v1_genomic,GCF_001580535.1_ASM158053v1_genomic,218406/185/1
GCF_019656015.1_ASM1965601v1_genomic,GCF_019656015.1_ASM1965601v1_genomic,218406/186/1
GCF_001435935.1_ASM143593v1_genomic,GCF_001435935.1_ASM143593v1_genomic,218406/187/1
GCF_001435445.1_ASM143544v1_genomic,GCF_001435445.1_ASM143544v1_genomic,218406/188/1
GCF_002005485.1_ASM200548v1_genomic,GCF_002005485.1_ASM200548v1_genomic,218406/189/1
GCF_000831645.3_ASM83164v3_genomic,GCF_000831645.3_ASM83164v3_genomic,218406/190/1
GCF_003403295.1_ASM340329v1_genomic,GCF_003403295.1_ASM340329v1_genomic,218406/191/1
GCF_003946655.1_ASM394665v1_genomic,GCF_003946655.1_ASM394665v1_genomic,218406/201/1
GCF_003946205.1_ASM394620v1_genomic,GCF_003946205.1_ASM394620v1_genomic,218406/203/1
GCF_005405065.1_ASM540506v1_genomic,GCF_005405065.1_ASM540506v1_genomic,218406/204/1
GCF_000785105.2_ASM78510v2_genomic,GCF_000785105.2_ASM78510v2_genomic,218406/205/1
GCF_001050115.1_ASM105011v1_genomic,GCF_001050115.1_ASM105011v1_genomic,218406/206/1
GCF_003946505.1_ASM394650v1_genomic,GCF_003946505.1_ASM394650v1_genomic,218406/207/1
GCF_003946575.1_ASM394657v1_genomic,GCF_003946575.1_ASM394657v1_genomic,218406/208/1
GCF_003967595.1_ASM396759v1_genomic,GCF_003967595.1_ASM396759v1_genomic,218406/209/1
GCF_001436615.1_ASM143661v1_genomic,GCF_001436615.1_ASM143661v1_genomic,218406/210/1
GCA_003243815.1_ASM324381v1_genomic,GCA_003243815.1_ASM324381v1_genomic,218406/213/1
GCF_003946625.1_ASM394662v1_genomic,GCF_003946625.1_ASM394662v1_genomic,218406/220/1
GCF_020510245.1_ASM2051024v1_genomic,GCF_020510245.1_ASM2051024v1_genomic,218406/222/1
GCF_007991935.1_ASM799193v1_genomic,GCF_007991935.1_ASM799193v1_genomic,218406/223/1
GCF_001434585.1_ASM143458v1_genomic,GCF_001434585.1_ASM143458v1_genomic,218406/224/1
GCF_008632615.1_ASM863261v1_genomic,GCF_008632615.1_ASM863261v1_genomic,218406/226/1
GCF_001436595.1_ASM143659v1_genomic,GCF_001436595.1_ASM143659v1_genomic,218406/227/1
GCF_000965255.1_ASM96525v1_genomic,GCF_000965255.1_ASM96525v1_genomic,218406/228/1
GCF_001437425.1_ASM143742v1_genomic,GCF_001437425.1_ASM143742v1_genomic,218406/229/1
GCF_001438705.1_ASM143870v1_genomic,GCF_001438705.1_ASM143870v1_genomic,218406/230/1
GCF_005405145.1_ASM540514v1_genomic,GCF_005405145.1_ASM540514v1_genomic,218406/235/1
GCF_004771075.1_ASM477107v1_genomic,GCF_004771075.1_ASM477107v1_genomic,218406/240/1
GCF_001434055.1_ASM143405v1_genomic,GCF_001434055.1_ASM143405v1_genomic,218406/241/1
GCF_000740055.1_ASM74005v1_genomic,GCF_000740055.1_ASM74005v1_genomic,218406/242/1
GCF_003946325.1_ASM394632v1_genomic,GCF_003946325.1_ASM394632v1_genomic,218406/245/1
GCA_008274985.1_ASM827498v1_genomic,GCA_008274985.1_ASM827498v1_genomic,218406/246/1
GCF_003124125.1_ASM312412v1_genomic,GCF_003124125.1_ASM312412v1_genomic,218406/247/1
GCF_009913915.1_ASM991391v1_genomic,GCF_009913915.1_ASM991391v1_genomic,218406/248/1
GCF_015244665.1_ASM1524466v1_genomic,GCF_015244665.1_ASM1524466v1_genomic,218406/249/1
GCF_001435995.1_ASM143599v1_genomic,GCF_001435995.1_ASM143599v1_genomic,218406/252/1
GCF_004745525.1_ASM474552v1_genomic,GCF_004745525.1_ASM474552v1_genomic,218406/253/1
GCF_001434785.1_ASM143478v1_genomic,GCF_001434785.1_ASM143478v1_genomic,218406/260/1
GCF_007988905.1_ASM798890v1_genomic,GCF_007988905.1_ASM798890v1_genomic,218406/261/1
GCF_001436775.1_ASM143677v1_genomic,GCF_001436775.1_ASM143677v1_genomic,218406/264/1
GCF_918814575.1_ASM91881457v1_genomic,GCF_918814575.1_ASM91881457v1_genomic,218406/265/1
GCF_007991375.1_ASM799137v1_genomic,GCF_007991375.1_ASM799137v1_genomic,218406/266/1
GCF_001435975.1_ASM143597v1_genomic,GCF_001435975.1_ASM143597v1_genomic,218406/267/1
GCF_003946045.1_ASM394604v1_genomic,GCF_003946045.1_ASM394604v1_genomic,218406/268/1
GCF_004102045.2_ASM410204v2_genomic,GCF_004102045.2_ASM410204v2_genomic,218406/269/1
GCF_007954525.1_ASM795452v1_genomic,GCF_007954525.1_ASM795452v1_genomic,218406/272/1
GCF_000469325.1_ASM46932v1_genomic,GCF_000469325.1_ASM46932v1_genomic,218406/273/1
GCF_003946095.1_ASM394609v1_genomic,GCF_003946095.1_ASM394609v1_genomic,218406/280/1
GCF_001438845.1_ASM143884v1_genomic,GCF_001438845.1_ASM143884v1_genomic,218406/281/1
GCF_001434135.1_ASM143413v1_genomic,GCF_001434135.1_ASM143413v1_genomic,218406/282/1
GCF_001436275.1_ASM143627v1_genomic,GCF_001436275.1_ASM143627v1_genomic,218406/285/1
GCF_019656055.1_ASM1965605v1_genomic,GCF_019656055.1_ASM1965605v1_genomic,218406/286/1
GCF_016861655.1_ASM1686165v1_genomic,GCF_016861655.1_ASM1686165v1_genomic,218406/287/1
GCF_003946545.1_ASM394654v1_genomic,GCF_003946545.1_ASM394654v1_genomic,218406/288/1
GCF_003946115.1_ASM394611v1_genomic,GCF_003946115.1_ASM394611v1_genomic,218406/289/1
GCF_000298875.1_ASM29887v1_genomic,GCF_000298875.1_ASM29887v1_genomic,218406/292/1
GCF_003207865.1_ASM320786v1_genomic,GCF_003207865.1_ASM320786v1_genomic,218406/294/1
GCF_001971585.1_ASM197158v1_genomic,GCF_001971585.1_ASM197158v1_genomic,218406/300/1
GCA_009932455.1_ASM993245v1_genomic,GCA_009932455.1_ASM993245v1_genomic,218406/301/1
GCF_009295845.1_ASM929584v1_genomic,GCF_009295845.1_ASM929584v1_genomic,218406/302/1
GCF_004014775.2_ASM401477v2_genomic,GCF_004014775.2_ASM401477v2_genomic,218406/305/1
GCF_005405085.1_ASM540508v1_genomic,GCF_005405085.1_ASM540508v1_genomic,218406/306/1
GCF_001434935.1_ASM143493v1_genomic,GCF_001434935.1_ASM143493v1_genomic,218406/307/1
GCF_006539325.1_ASM653932v1_genomic,GCF_006539325.1_ASM653932v1_genomic,218406/309/1
GCF_001703515.1_ASM170351v1_genomic,GCF_001703515.1_ASM170351v1_genomic,218406/310/1
GCF_003946165.1_ASM394616v1_genomic,GCF_003946165.1_ASM394616v1_genomic,218406/312/1
GCF_005405405.1_ASM540540v1_genomic,GCF_005405405.1_ASM540540v1_genomic,218406/313/1
GCF_005404945.1_ASM540494v1_genomic,GCF_005404945.1_ASM540494v1_genomic,218406/316/1
GCF_001434145.1_ASM143414v1_genomic,GCF_001434145.1_ASM143414v1_genomic,218406/321/1
GCF_008694105.1_ASM869410v1_genomic,GCF_008694105.1_ASM869410v1_genomic,218406/322/1
GCF_011516755.1_ASM1151675v1_genomic,GCF_011516755.1_ASM1151675v1_genomic,218406/324/1
GCF_007954605.1_ASM795460v1_genomic,GCF_007954605.1_ASM795460v1_genomic,218406/326/1
GCF_001435525.1_ASM143552v1_genomic,GCF_001435525.1_ASM143552v1_genomic,218406/327/1
GCF_015244675.1_ASM1524467v1_genomic,GCF_015244675.1_ASM1524467v1_genomic,218406/328/1
GCF_001434395.1_ASM143439v1_genomic,GCF_001434395.1_ASM143439v1_genomic,218406/330/1
GCF_004136575.1_ASM413657v1_genomic,GCF_004136575.1_ASM413657v1_genomic,218406/331/1
GCF_002872255.1_ASM287225v1_genomic,GCF_002872255.1_ASM287225v1_genomic,218406/334/1
GCF_005405105.1_ASM540510v1_genomic,GCF_005405105.1_ASM540510v1_genomic,218406/336/1
GCF_012396435.1_ASM1239643v1_genomic,GCF_012396435.1_ASM1239643v1_genomic,218406/341/1
GCF_003946465.1_ASM394646v1_genomic,GCF_003946465.1_ASM394646v1_genomic,218406/343/1
GCF_019656075.1_ASM1965607v1_genomic,GCF_019656075.1_ASM1965607v1_genomic,218406/344/1
GCF_005404815.1_ASM540481v1_genomic,GCF_005404815.1_ASM540481v1_genomic,218406/347/1
MASTER_WP4_TEAGASC_1__TGS01-22__bin.6,MASTER_WP4_TEAGASC_1__TGS01-22__bin.6,218406/352/1
MAG_94,MAG_94,218406/353/1
DeFilippisF_xxxx__DF_5__bin.4,DeFilippisF_xxxx__DF_5__bin.4,218406/354/1
MASTER_WP4_UNINA_1__AS111_71775__bin.3,MASTER_WP4_UNINA_1__AS111_71775__bin.3,218406/355/1
MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin.4,MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin.4,218406/356/1
MortensenS_xxxx__WK044-2-L-08h-03H1_S83__bin.10,MortensenS_xxxx__WK044-2-L-08h-03H1_S83__bin.10,218406/357/1
MASTER_WP4_FFoQSI_2__VB16-22__bin.17,MASTER_WP4_FFoQSI_2__VB16-22__bin.17,218406/358/1
DeFilippisF_xxxx__DF_39__bin.4,DeFilippisF_xxxx__DF_39__bin.4,218406/360/1
YulandiA_2020__SRS6115052__bin.6,YulandiA_2020__SRS6115052__bin.6,218406/362/1
DeFilippisF_xxxx__DF_101__bin.22,DeFilippisF_xxxx__DF_101__bin.22,218406/364/1
CM_UNINA_FFOOD__FFOOD_296__bin.12,CM_UNINA_FFOOD__FFOOD_296__bin.12,218406/371/1
MASTER_WP4_TEAGASC_1__TGS07-29__bin.2,MASTER_WP4_TEAGASC_1__TGS07-29__bin.2,218406/373/1
MASTER_WP4_CSIC_2__P2485__bin.4,MASTER_WP4_CSIC_2__P2485__bin.4,218406/374/1
MASTER_WP4_UNINA_1__FO007_71775__bin.8,MASTER_WP4_UNINA_1__FO007_71775__bin.8,218406/375/1
C-R14.bin.10,C-R14.bin.10,218406/376/1
ODFM-BA-A-0128-001_Pectinatus_frisingensis_MB139,ODFM-BA-A-0128-001_Pectinatus_frisingensis_MB139,218406/377/1
MASTER_WP4_CSIC_2__P2613__bin.25,MASTER_WP4_CSIC_2__P2613__bin.25,218406/378/1
MASTER_WP4_UNINA_1__MO005_73417__bin.2,MASTER_WP4_UNINA_1__MO005_73417__bin.2,218406/379/1
FontanaF_2023__SRR20746866__bin.4,FontanaF_2023__SRR20746866__bin.4,218406/380/1
MASTER_WP4_TEAGASC_1__TGS04-23__bin.30,MASTER_WP4_TEAGASC_1__TGS04-23__bin.30,218406/385/1
ODFM-BA-A-0081-002_Halorubrum_halophilum_CBA1147,ODFM-BA-A-0081-002_Halorubrum_halophilum_CBA1147,218406/391/1
MagliuloR_2024__SRR28235369__bin.6,MagliuloR_2024__SRR28235369__bin.6,218406/392/1
MAG_36,MAG_36,218406/394/1
LeechJ_xxxx__AF74__bin.1,LeechJ_xxxx__AF74__bin.1,218406/395/1
WalshL_xxxx__O4__bin.5,WalshL_xxxx__O4__bin.5,218406/397/1
MortensenS_xxxx__WK019-2-L-48h-02E4_S100__bin.4,MortensenS_xxxx__WK019-2-L-48h-02E4_S100__bin.4,218406/398/1
PfeferT_xxxx__SRS2870572__bin.4,PfeferT_xxxx__SRS2870572__bin.4,218406/399/1
YangC_2021__SRR13259372__bin.32,YangC_2021__SRR13259372__bin.32,218406/400/1
LeechJ_2020__ERS3967724__bin.7,LeechJ_2020__ERS3967724__bin.7,218406/401/1
WalshL_xxxx__I2__bin.2,WalshL_xxxx__I2__bin.2,218406/402/1
MASTER_WP4_TEAGASC_1__TGS10-28__bin.13,MASTER_WP4_TEAGASC_1__TGS10-28__bin.13,218406/410/1
DeFilippisF_xxxx__DS_50__bin.12,DeFilippisF_xxxx__DS_50__bin.12,218406/413/1
MASTER_WP4_CSIC_1__P2237_73323__bin.19,MASTER_WP4_CSIC_1__P2237_73323__bin.19,218406/414/1
MASTER_WP4_CSIC_2__P2581__bin.19,MASTER_WP4_CSIC_2__P2581__bin.19,218406/415/1
ZhaoCC_2020__SRS5803191__bin.31,ZhaoCC_2020__SRS5803191__bin.31,218406/416/1
WalshL_xxxx__U-2-12__bin.3,WalshL_xxxx__U-2-12__bin.3,218406/417/1
MAG_539,MAG_539,218406/418/1
ZhaoCC_2020__SRS5803192__bin.16,ZhaoCC_2020__SRS5803192__bin.16,218406/419/1
LeechJ_xxxx__AF26__bin.11,LeechJ_xxxx__AF26__bin.11,218406/423/1
MortensenS_xxxx__WK034-1-L-48h-03C5_S42__bin.4,MortensenS_xxxx__WK034-1-L-48h-03C5_S42__bin.4,218406/424/1
CM_UNINA_FFOOD__FFOOD_347__bin.16,CM_UNINA_FFOOD__FFOOD_347__bin.16,218406/432/1
MASTER_WP4_FFoQSI_1__VB-15-M10__bin.16,MASTER_WP4_FFoQSI_1__VB-15-M10__bin.16,218406/433/1
FontanaF_2023__SRR20746964__bin.5,FontanaF_2023__SRR20746964__bin.5,218406/434/1
MASTER_WP4_TEAGASC_1__TGS06-22__bin.6,MASTER_WP4_TEAGASC_1__TGS06-22__bin.6,218406/435/1
MASTER_WP4_CSIC_2__P2560__bin.13,MASTER_WP4_CSIC_2__P2560__bin.13,218406/436/1
YouL_2022__SRR13308540__bin.9,YouL_2022__SRR13308540__bin.9,218406/437/1
ODFM-BA-A-0034-002_Haloterrigena_jeotgali_A29,ODFM-BA-A-0034-002_Haloterrigena_jeotgali_A29,218406/441/1
MASTER_WP4_CSIC_2__P2599__bin.50,MASTER_WP4_CSIC_2__P2599__bin.50,218406/442/1
EBC_098.21,EBC_098.21,218406/443/1
DeFilippisF_xxxx__DF_11__bin.27,DeFilippisF_xxxx__DF_11__bin.27,218406/444/1
MAG_568,MAG_568,218406/450/1
MASTER_WP4_FFoQSI_2__VB16-22__bin.23,MASTER_WP4_FFoQSI_2__VB16-22__bin.23,218406/451/1
MASTER_WP4_CSIC_1__P2227_73323__bin.3,MASTER_WP4_CSIC_1__P2227_73323__bin.3,218406/452/1
CM_UNINA_FFOOD__FFOOD_296__bin.9,CM_UNINA_FFOOD__FFOOD_296__bin.9,218406/455/1
MASTER_WP4_UNINA_1__PM001_71775__bin.5,MASTER_WP4_UNINA_1__PM001_71775__bin.5,218406/456/1
MortensenS_xxxx__WK010-1-L-08h-02A1_S61__bin.3,MortensenS_xxxx__WK010-1-L-08h-02A1_S61__bin.3,218406/457/1
AlvarezOrdonezA_xxxx__Q07-22__bin.28,AlvarezOrdonezA_xxxx__Q07-22__bin.28,218406/461/1
LeechJ_xxxx__AF47__bin.4,LeechJ_xxxx__AF47__bin.4,218406/462/1
MAG_428,MAG_428,218406/463/1
MASTER_WP4_UNINA_1__GO004_71775__bin.1,MASTER_WP4_UNINA_1__GO004_71775__bin.1,218406/464/1
WolfeBE_2014__337_Mileens__bin.2,WolfeBE_2014__337_Mileens__bin.2,218406/470/1
WalshL_xxxx__J11__bin.4,WalshL_xxxx__J11__bin.4,218406/471/1
LeechJ_2020__ERS3967699__bin.8,LeechJ_2020__ERS3967699__bin.8,218406/472/1
WalshL_xxxx__B1__bin.2,WalshL_xxxx__B1__bin.2,218406/475/1
MASTER_WP4_CSIC_2__P2596__bin.6,MASTER_WP4_CSIC_2__P2596__bin.6,218406/476/1
MASTER_WP4_CSIC_2__P2611__bin.7,MASTER_WP4_CSIC_2__P2611__bin.7,218406/480/1
MAG_53,MAG_53,218406/481/1
KharnaiorP_2023__SRR22859378__bin.22,KharnaiorP_2023__SRR22859378__bin.22,218406/482/1
AlvarezOrdonezA_xxxx__Q03-23__bin.2,AlvarezOrdonezA_xxxx__Q03-23__bin.2,218406/483/1
MASTER_WP4_FFoQSI_2__VB01-30__bin.10,MASTER_WP4_FFoQSI_2__VB01-30__bin.10,218406/485/1
AlvarezOrdonezA_xxxx__Q01-26__bin.2,AlvarezOrdonezA_xxxx__Q01-26__bin.2,218406/489/1
FontanaF_2023__SRR20746929__bin.9,FontanaF_2023__SRR20746929__bin.9,218406/490/1
MASTER_WP4_UNINA_1__AS001_71775__bin.13,MASTER_WP4_UNINA_1__AS001_71775__bin.13,218406/492/1
MAG_115,MAG_115,218406/495/1
MortensenS_xxxx__WK044-1-L-48h-03G9_S82__bin.3,MortensenS_xxxx__WK044-1-L-48h-03G9_S82__bin.3,218406/498/1
WalshAM_2017__ERS1739834__bin.1,WalshAM_2017__ERS1739834__bin.1,218406/499/1
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin.3,MASTER_WP4_FFoQSI_1__VB14-F-AR__bin.3,218406/501/1
MASTER_WP4_UNINA_2__O-30__bin.15,MASTER_WP4_UNINA_2__O-30__bin.15,218406/502/1
MortensenS_xxxx__WK059-1-L-48h-04H1_S35__bin.7,MortensenS_xxxx__WK059-1-L-48h-04H1_S35__bin.7,218406/504/1
DeFilippisF_xxxx__DF_96__bin.11,DeFilippisF_xxxx__DF_96__bin.11,218406/505/1
CM_UNINA_FFOOD__FFOOD_226__bin.10,CM_UNINA_FFOOD__FFOOD_226__bin.10,218406/507/1
MASTER_WP4_FFoQSI_1__KM-2D__bin.28,MASTER_WP4_FFoQSI_1__KM-2D__bin.28,218406/508/1
MAG_395,MAG_395,218406/511/1
MortensenS_xxxx__WK032-1-L-48h-03B6_S34__bin.4,MortensenS_xxxx__WK032-1-L-48h-03B6_S34__bin.4,218406/516/1
SEM_41_S58.18,SEM_41_S58.18,218406/518/1
MASTER_WP4_UNINA_2__I-25.1__bin.5,MASTER_WP4_UNINA_2__I-25.1__bin.5,218406/520/1
MASTER_WP4_TEAGASC_1__TGS08-29__bin.67,MASTER_WP4_TEAGASC_1__TGS08-29__bin.67,218406/521/1
BertuzziAS_2018__ERS2032120__bin.4,BertuzziAS_2018__ERS2032120__bin.4,218406/522/1
AlvarezOrdonezA_xxxx__Q01-23__bin.1,AlvarezOrdonezA_xxxx__Q01-23__bin.1,218406/524/1
MAG_366,MAG_366,218406/525/1
AlvarezOrdonezA_xxxx__C07-19__bin.10,AlvarezOrdonezA_xxxx__C07-19__bin.10,218406/526/1
DeFilippisF_xxxx__DS_78__bin.11,DeFilippisF_xxxx__DS_78__bin.11,218406/528/1
