sample_accession,experiment_accession,read_count,fastq_ftp,sample_name,filename,description,dna_extracted,fermented,fermentation_day
SAMEA7032336,ERX4260051,17846,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311408/ERR4311408.fastq.gz,11442.G79207,G79207_5x_10ul_BH8_01_19759.mzXML,Jalapeno jack cheese,TRUE,yes,none
SAMEA7032342,ERX4260057,239550,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311414/ERR4311414.fastq.gz,11442.G79249,G79249_1x_rerun_RB6_01_23320.mzXML,steak crostini whole,TRUE,yes,none
SAMEA7032389,ERX4260104,901653,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311461/ERR4311461.fastq.gz,11442.G79486,G79486_5x_BD12_01_19634.mzXML,havarti cheese trader joes sliced; plastic packaging,TRUE,yes,none
SAMEA7032394,ERX4260109,330665,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311466/ERR4311466.fastq.gz,11442.G79683,G79683_5x_BF11_01_19700.mzXML,"milk chocolate, sugar free",TRUE,yes,none
SAMEA7032397,ERX4260112,714671,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311469/ERR4311469.fastq.gz,11442.G79686,G79686_5x_BA10_01_19616.mzXML,chocolate (45%),TRUE,yes,none
SAMEA7032401,ERX4260116,850849,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311473/ERR4311473.fastq.gz,11442.G79701,G79701_5x_10ul_BE10_01_19697.mzXML,"kite hill artisan almond milk yogurt, blueberry",TRUE,yes,none
SAMEA7032402,ERX4260117,822988,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311474/ERR4311474.fastq.gz,11442.G79702,G79702_5x_BD10_01_19632.mzXML,greek whole milk yogurt; avocado citrus,TRUE,yes,none
SAMEA7032403,ERX4260118,452168,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311475/ERR4311475.fastq.gz,11442.G79703,G79703_5x_10ul_rerun_BG9_01_19767.mzXML,"yogurt, plain, fat free",TRUE,yes,none
SAMEA7032406,ERX4260121,281018,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311478/ERR4311478.fastq.gz,11442.G79716,G79716_5x_BC4_01_19695.mzXML,apricot decaf black,TRUE,yes,none
SAMEA7032407,ERX4260122,625923,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311479/ERR4311479.fastq.gz,11442.G79717,G79717_5x_4ul_BF5_01_19734.mzXML,silver tip jasmine,TRUE,yes,none
SAMEA7032409,ERX4260124,586037,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311481/ERR4311481.fastq.gz,11442.G79719,G79719_5x_2ul_BB6_01_19652.mzXML,White Peony,TRUE,yes,none
SAMEA7032417,ERX4260132,593364,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311489/ERR4311489.fastq.gz,11442.G79733,G79733_5x_4ul_BE5_01_19722.mzXML,yunnan hong cha,TRUE,yes,none
SAMEA7032420,ERX4260134,103828,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311491/ERR4311491.fastq.gz,11442.G79738,G79738_5x_4ul_BE2_01_19719.mzXML,Early grey,TRUE,yes,none
SAMEA7032421,ERX4260135,513241,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311492/ERR4311492.fastq.gz,11442.G79739,G79739_5x_rerun_2ul_BB2_01_19647.mzXML,market spice,TRUE,yes,none
SAMEA7032422,ERX4260136,542239,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311493/ERR4311493.fastq.gz,11442.G79740,G79740_5x_4ul_BH2_01_19753.mzXML,jade earl green,TRUE,yes,none
SAMEA7032437,ERX4260151,242457,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311508/ERR4311508.fastq.gz,11442.G83325,G83325_1x_RC4_01_21754.mzXML,Heath (Milk Chocolate English Toffee Bar),TRUE,yes,none
SAMEA7032452,ERX4260166,453861,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311523/ERR4311523.fastq.gz,11442.G83340,G83340_1x_RD3_01_21766.mzXML,M&M peanut,TRUE,yes,none
SAMEA7032488,ERX4260202,594626,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311559/ERR4311559.fastq.gz,11442.G83405,G83405_1x_RG7_01_21846.mzXML,M&M peanut butter (brown),TRUE,yes,none
SAMEA7032496,ERX4260210,625139,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311567/ERR4311567.fastq.gz,11442.G83413,G83413_1x_RD8_01_21808.mzXML,"snickers (chocolate, nut, carmel)",TRUE,yes,none
SAMEA7032507,ERX4260221,147267,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311578/ERR4311578.fastq.gz,11442.G83432,G83432_1x_RG6_01_26458.mzXML,Cali Creamer beer,TRUE,yes,none
SAMEA7032519,ERX4260233,585591,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311590/ERR4311590.fastq.gz,11442.G83450,G83450_1x_RF9_01_21836.mzXML,Twix mini white part and chocolate,TRUE,yes,none
SAMEA7032521,ERX4260235,636598,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311592/ERR4311592.fastq.gz,11442.G83452,G83452_1x_RD9_01_21809.mzXML,Whoppers,TRUE,yes,none
SAMEA7032523,ERX4260237,553153,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311594/ERR4311594.fastq.gz,11442.G83454,G83454_1x_RC10_01_21761.mzXML,3 Musketeers Fun Size (interior and exterior),TRUE,yes,none
SAMEA7032540,ERX4260254,430240,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311611/ERR4311611.fastq.gz,11442.G86708,G86708_1x_RB10_01_21747.mzXML,Snickers (harvest),TRUE,yes,none
SAMEA7032543,ERX4260257,400632,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311614/ERR4311614.fastq.gz,11442.G86711,G86711_1x_RG10_01_21849.mzXML,Ritter Sport,TRUE,yes,none
SAMEA7032544,ERX4260258,303717,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311615/ERR4311615.fastq.gz,11442.G86712,G86712_1x_RA11_01_21729.mzXML,Baby Ruth (Chocolate and Carmel),TRUE,yes,none
SAMEA7032545,ERX4260259,30546,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311616/ERR4311616.fastq.gz,11442.G86713,G86713_1x_RC11_01_21762.mzXML,Baby Ruth (Nut and Carmel),TRUE,yes,none
SAMEA7032547,ERX4260261,535206,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311618/ERR4311618.fastq.gz,11442.G86715,G86715_1x_RE11_01_21826.mzXML,Milky Way,TRUE,yes,none
SAMEA7032548,ERX4260262,497257,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311619/ERR4311619.fastq.gz,11442.G86716,G86716_1x_RH11_01_21868.mzXML,Almond Joy (Chocolate and Nut),TRUE,yes,none
SAMEA7032560,ERX4260274,450204,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311631/ERR4311631.fastq.gz,11442.G86728,G86728_10x_10ul_RG8_01_23220.mzXML,hot chocolate packet,TRUE,yes,none
SAMEA7032564,ERX4260278,531558,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311635/ERR4311635.fastq.gz,11442.G86732,G86732_1x_BD5_01_23169.mzXML,"artichoke pizza, sample includes all parts",TRUE,yes,none
SAMEA7032569,ERX4260283,387415,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311640/ERR4311640.fastq.gz,11442.G86737,G86737_1x_BC2_01_23148.mzXML,peanut butter cup from nut mix,TRUE,yes,none
SAMEA7032572,ERX4260286,439634,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311643/ERR4311643.fastq.gz,11442.G86740,G86740_1x_BG7_01_23219.mzXML,ChocoHigos; chocolate covered dried figs (Whole foods),TRUE,yes,none
SAMEA7032576,ERX4260290,188399,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311647/ERR4311647.fastq.gz,11442.G86753,G86753_1x_BB7_01_23140.mzXML,multi-grain bread,TRUE,yes,none
SAMEA7032603,ERX4260317,250915,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311674/ERR4311674.fastq.gz,11442.G86782,G86782_10x_RG2_01_23213.mzXML,"toasted coconut dark chocolate (70% cocoa), purchased from whole foods la jolla, expiration date 1.19.2018",TRUE,yes,none
SAMEA7032644,ERX4260358,457925,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311715/ERR4311715.fastq.gz,11442.G86825,G86825_1x_BA6_01_23120.mzXML,Japanese Style Panko Breadcrumbs,TRUE,yes,none
SAMEA7032649,ERX4260363,251452,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311720/ERR4311720.fastq.gz,11442.G86830,G86830_1x_BG4_01_23215.mzXML,Nesquik,TRUE,yes,none
SAMEA7032659,ERX4260373,257289,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311730/ERR4311730.fastq.gz,11442.G86840,G86840_1x_BH9_01_23237.mzXML,Philadelphia cream cheese (1/3 less fat) spread,TRUE,yes,none
SAMEA7032696,ERX4260410,386256,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311767/ERR4311767.fastq.gz,11442.G86902,G86902_1x_BB3_01_23135.mzXML,Chocolate Chip Bagel (Monday Meeting),TRUE,yes,none
SAMEA7032706,ERX4260420,775080,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311777/ERR4311777.fastq.gz,11442.G86912,G86912_1x_rerun_RB12_01_26293.mzXML,Truth Bar (Raspberry),TRUE,yes,none
SAMEA7032728,ERX4260442,6844,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311799/ERR4311799.fastq.gz,11442.G86938,G86938_1x_RG10_01_26463.mzXML,ethiopia Guju light coffee; from CMI workshop; sampled warm/hot on 2018-01-17 15:30,TRUE,yes,none
SAMEA7032768,ERX4260482,711479,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311839/ERR4311839.fastq.gz,11442.G86986,G86986_1x_rerun_RF4_01_26526.mzXML,chocolate almond-pressed juice,TRUE,yes,none
SAMEA7032795,ERX4260509,6030,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311866/ERR4311866.fastq.gz,11442.G87499,G87499_1x_RG4_01_26456.mzXML,Old vine zinfandel,TRUE,yes,none
SAMEA7032814,ERX4260528,832143,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311885/ERR4311885.fastq.gz,11442.G87518,G87518_1x_RF8_01_26447.mzXML,Swafford mystery beer 1,TRUE,yes,none
SAMEA7032816,ERX4260530,917973,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311887/ERR4311887.fastq.gz,11442.G87520,G87520_1x_rerun_RD8_01_26490.mzXML,Unspoiled pumpkin ale 9-24 (post ferment? on jar label),TRUE,yes,none
SAMEA7032817,ERX4260531,13586,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311888/ERR4311888.fastq.gz,11442.G87521,G87521_1x_rerun_RC8_01_26505.mzXML,spoiled pumpkin ale 2017-09-24; post ferment,TRUE,yes,none
SAMEA7032865,ERX4260579,139093,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311936/ERR4311936.fastq.gz,11442.G90211,G90211_1x_rerun_RD12_01_26494.mzXML,Triton Blend Medium; Club med; Fair trade certified; organic,TRUE,yes,none
SAMEA7033803,ERX4261596,282334,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313025/ERR4313025.fastq.gz,11442.G72642,G72642_5x_BA6_01_18261.mzXML,Flagship reserve,TRUE,yes,none
SAMEA7033804,ERX4261597,436324,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313026/ERR4313026.fastq.gz,11442.G72643,G72643_5x_BE4_01_18315.mzXML,stilton colston basset,TRUE,yes,none
